symbol,start_time,end_time,timeframe,open,high,low,close,volume,vah,val,mid,vpoc,kurtosis,skewness,profile_shape,volume_spike_ratio,hvns,lvns,untested_vpocs,vwap,profile_distribution,open_prev_profile,close_prev_profile,poor_high,poor_low
ESS,2025-03-31 13:15:00,2025-03-31 13:29:00,15min,5559.5,5568.0,5559.25,5565.75,5189.0,5568.25,5563.5,5563.625,5565.375,-1.0908042553742563,-1.01296608884722,double-distro,0.9,[5559.88],[5562.88],[5565.375],5564.3857,{},,,False,False
ESS,2025-03-31 13:30:00,2025-03-31 13:44:00,15min,5565.75,5574.0,5564.25,5573.75,11469.0,5572.75,5568.5,5569.125,5569.625,0.18436863945914483,-0.4949090827680971,P-shape,0.88,[5564.5],[5567.5],[5569.625],5569.89,{},Within Value Area,Above VAH,False,False
ESS,2025-03-31 13:45:00,2025-03-31 13:59:00,15min,5573.75,5575.0,5571.0,5574.25,7516.0,5574.25,5572.0,5573.0,5573.375,-1.4085967370769596,0.13513654806408518,normal,0.74,[],[],"[5569.625, 5573.375]",5573.0557,{},Above VAH,Above VAH,False,False
ESS,2025-03-31 14:00:00,2025-03-31 14:14:00,15min,5574.25,5577.5,5570.25,5572.75,10953.0,5576.0,5572.25,5573.875,5574.625,-1.0514409898349446,0.4944778589447442,double-distro,0.77,[],[],"[5569.625, 5574.625]",5573.6701,{},Within Value Area,Within Value Area,False,False
ESS,2025-03-31 14:15:00,2025-03-31 14:29:00,15min,5572.75,5573.25,5562.25,5563.75,17946.0,5569.0,5563.5,5567.75,5567.875,-0.843742998133425,-0.07156028276891802,double-distro,3.2,"[5562.63, 5573.13]","[5569.75, 5565.75]","[5574.625, 5567.875]",5566.9282,{},Within Value Area,Below VAL,False,False
ESS,2025-03-31 14:30:00,2025-03-31 14:44:00,15min,5563.5,5572.0,5538.75,5539.25,127910.0,5564.0,5538.75,5555.375,5554.375,-0.3925757088889079,0.04674819804507516,double-distro,0.88,"[5565.37, 5569.87]","[5560.88, 5550.38]","[5574.625, 5554.375]",5556.924,{},Within Value Area,Below VAL,False,False
ESS,2025-03-31 14:45:00,2025-03-31 14:59:00,15min,5539.25,5571.0,5533.75,5562.5,112987.0,5559.5,5533.75,5552.375,5539.375,-1.6778458342107423,-0.14157642622563504,double-distro,0.73,"[5566.62, 5551.87]","[5546.63, 5560.75]","[5574.625, 5539.375]",5551.3402,{},Within Value Area,Within Value Area,False,False
ESS,2025-03-31 15:00:00,2025-03-31 15:14:00,15min,5562.75,5581.25,5561.5,5574.5,86126.0,5577.0,5569.0,5571.375,5573.875,-0.19284917442175864,0.28913075417124673,double-distro,0.69,"[5579.25, 5568.63]",[5567.37],"[5539.375, 5573.875]",5573.2169,{},Above VAH,Above VAH,False,False
ESS,2025-03-31 15:15:00,2025-03-31 15:29:00,15min,5574.5,5576.25,5559.25,5560.25,59506.0,5566.0,5559.75,5567.75,5562.625,5.092569963368933,2.0154068612510816,b-shape,0.89,"[5573.87, 5568.25]",[5569.37],"[5539.375, 5562.625]",5564.3785,{},Within Value Area,Below VAL,False,False
ESS,2025-03-31 15:30:00,2025-03-31 15:44:00,15min,5560.25,5584.25,5559.75,5573.75,65294.0,5582.5,5572.0,5572.0,5579.125,-0.34614023873787136,-0.6881906740921153,P-shape,0.65,"[5572.75, 5568.13]",[5569.0],"[5539.375, 5579.125]",5575.4883,{},Within Value Area,Above VAH,False,False
ESS,2025-03-31 15:45:00,2025-03-31 15:59:00,15min,5573.75,5585.5,5571.25,5581.5,53465.0,5582.75,5576.0,5578.375,5580.375,-1.2096945102495198,-0.35278254757770466,double-distro,0.73,"[5574.25, 5572.13]",[5577.13],"[5539.375, 5580.375]",5578.853,{},Within Value Area,Within Value Area,False,False
ESS,2025-03-31 16:00:00,2025-03-31 16:14:00,15min,5581.75,5591.25,5578.75,5579.5,63191.0,5588.5,5583.0,5585.0,5585.625,1.2118489442528881,-0.0219677945831742,normal,0.82,"[5579.5, 5590.87]",[5582.75],"[5539.375, 5585.625]",5585.1047,{},Within Value Area,Within Value Area,False,False
ESS,2025-03-31 16:15:00,2025-03-31 16:29:00,15min,5579.75,5600.5,5577.75,5591.0,56769.0,5599.25,5588.0,5589.125,5595.875,-1.1433408748955456,-0.0005308969299661326,double-distro,0.79,"[5587.79, 5585.0]","[5584.87, 5593.0]","[5539.375, 5595.875]",5591.66,{},Below VAL,Above VAH,False,False
